seed_param,seed_sim,Drug,Condition,n,events,median,lwr,upr
6,2,Lid+Adr,Condition 4,100,26,NA,NA,NA
6,3,Pro,Raw data,51,48,55,50,65
6,3,Pro,Condition 1,100,100,60,55,65
6,3,Pro,Condition 2,100,100,57.5,55,60
6,3,Pro,Condition 3,100,100,60,55,65
6,3,Pro,Condition 4,100,100,60,60,65
6,3,Lid,Raw data,51,47,60,55,70
6,3,Lid,Condition 1,100,100,70,65,75
6,3,Lid,Condition 2,100,100,70,65,70
6,3,Lid,Condition 3,100,100,65,65,70
6,3,Lid,Condition 4,100,100,70,65,70
6,3,Mep,Raw data,51,45,85,75,90
6,3,Mep,Condition 1,100,100,75,75,80
6,3,Mep,Condition 2,100,100,80,75,80
6,3,Mep,Condition 3,100,100,80,75,85
6,3,Mep,Condition 4,100,100,80,75,80
6,3,Bup,Raw data,51,25,NA,90,NA
6,3,Bup,Condition 1,100,100,100,95,105
6,3,Bup,Condition 2,100,100,105,100,105
6,3,Bup,Condition 3,100,100,100,100,105
6,3,Bup,Condition 4,100,100,100,95,105
6,3,Lid+Adr,Raw data,51,8,NA,NA,NA
6,3,Lid+Adr,Condition 1,100,24,NA,NA,NA
6,3,Lid+Adr,Condition 2,100,26,NA,NA,NA
6,3,Lid+Adr,Condition 3,100,28,NA,NA,NA
6,3,Lid+Adr,Condition 4,100,29,NA,NA,NA
6,4,Pro,Raw data,51,48,55,50,65
6,4,Pro,Condition 1,100,100,55,55,60
6,4,Pro,Condition 2,100,100,60,55,60
6,4,Pro,Condition 3,100,100,60,60,60
6,4,Pro,Condition 4,100,100,60,55,60
6,4,Lid,Raw data,51,47,60,55,70
6,4,Lid,Condition 1,100,100,70,65,70
6,4,Lid,Condition 2,100,100,65,65,70
6,4,Lid,Condition 3,100,100,65,65,70
6,4,Lid,Condition 4,100,100,70,65,70
6,4,Mep,Raw data,51,45,85,75,90
6,4,Mep,Condition 1,100,100,80,75,80
6,4,Mep,Condition 2,100,100,75,75,80
6,4,Mep,Condition 3,100,100,80,80,85
6,4,Mep,Condition 4,100,100,80,75,80
6,4,Bup,Raw data,51,25,NA,90,NA
6,4,Bup,Condition 1,100,100,100,100,110
6,4,Bup,Condition 2,100,100,100,100,105
6,4,Bup,Condition 3,100,100,105,100,110
6,4,Bup,Condition 4,100,100,100,100,105
6,4,Lid+Adr,Raw data,51,8,NA,NA,NA
6,4,Lid+Adr,Condition 1,100,28,NA,NA,NA
6,4,Lid+Adr,Condition 2,100,32,NA,NA,NA
6,4,Lid+Adr,Condition 3,100,27,NA,NA,NA
6,4,Lid+Adr,Condition 4,100,30,NA,NA,NA
