seed_param,seed_sim,r,n,events,median,lwr,upr
3,6,-0.5,100,100,65,65,70
3,6,-0.25,100,100,65,65,70
3,6,0,100,100,70,65,70
3,6,0.25,100,100,67.5,65,70
3,6,0.5,100,100,65,65,70
3,6,0.75,100,100,65,65,70
3,6,1,100,100,70,65,70
3,7,-1,100,100,65,60,70
3,7,-0.75,100,100,65,60,70
3,7,-0.5,100,100,65,65,70
3,7,-0.25,100,100,65,65,70
3,7,0,100,100,67.5,65,70
3,7,0.25,100,100,65,65,70
3,7,0.5,100,100,65,65,70
3,7,0.75,100,100,65,65,70
3,7,1,100,100,70,65,70
3,8,-1,100,100,65,60,70
3,8,-0.75,100,100,65,65,70
3,8,-0.5,100,100,65,60,70
3,8,-0.25,100,100,65,65,70
3,8,0,100,100,65,65,70
3,8,0.25,100,100,65,65,70
3,8,0.5,100,100,65,65,70
3,8,0.75,100,100,70,70,70
3,8,1,100,100,65,65,70
3,9,-1,100,100,65,60,70
3,9,-0.75,100,100,65,60,70
3,9,-0.5,100,100,65,65,70
3,9,-0.25,100,100,65,60,70
3,9,0,100,100,65,65,70
3,9,0.25,100,100,65,65,70
3,9,0.5,100,100,65,65,70
3,9,0.75,100,100,67.5,65,70
3,9,1,100,100,67.5,65,70
3,10,-1,100,100,65,60,70
3,10,-0.75,100,100,65,60,70
3,10,-0.5,100,100,65,60,70
3,10,-0.25,100,100,65,60,70
3,10,0,100,100,65,60,70
3,10,0.25,100,100,65,65,70
3,10,0.5,100,100,65,65,70
3,10,0.75,100,100,65,65,70
3,10,1,100,100,65,65,70
4,1,-1,100,100,65,60,70
4,1,-0.75,100,100,65,65,70
4,1,-0.5,100,100,65,60,65
4,1,-0.25,100,100,65,65,65
4,1,0,100,100,65,65,70
4,1,0.25,100,100,67.5,65,70
4,1,0.5,100,100,70,65,70
4,1,0.75,100,100,65,65,70
4,1,1,100,100,70,70,70
4,2,-1,100,100,65,60,70
4,2,-0.75,100,100,65,65,70
4,2,-0.5,100,100,65,65,70
4,2,-0.25,100,100,70,65,70
4,2,0,100,100,65,65,70
4,2,0.25,100,100,70,65,70
4,2,0.5,100,100,67.5,65,70
4,2,0.75,100,100,70,65,70
4,2,1,100,100,70,70,70
4,3,-1,100,100,65,65,70
4,3,-0.75,100,100,65,60,70
4,3,-0.5,100,100,65,65,70
4,3,-0.25,100,100,65,60,70
4,3,0,100,100,67.5,65,70
4,3,0.25,100,100,67.5,65,70
4,3,0.5,100,100,70,65,70
4,3,0.75,100,100,70,65,70
4,3,1,100,100,65,65,70
4,4,-1,100,100,65,65,70
4,4,-0.75,100,100,65,65,70
4,4,-0.5,100,100,65,65,70
4,4,-0.25,100,100,65,65,70
4,4,0,100,100,65,65,70
4,4,0.25,100,100,65,65,70
4,4,0.5,100,100,70,65,70
4,4,0.75,100,100,65,65,70
4,4,1,100,100,70,70,70
4,5,-1,100,100,65,60,70
4,5,-0.75,100,100,65,65,70
4,5,-0.5,100,100,65,65,70
4,5,-0.25,100,100,65,65,70
4,5,0,100,100,65,65,70
4,5,0.25,100,100,65,65,70
4,5,0.5,100,100,70,65,70
4,5,0.75,100,100,70,65,70
4,5,1,100,100,70,70,70
4,6,-1,100,100,65,60,70
4,6,-0.75,100,100,65,65,70
4,6,-0.5,100,100,65,65,70
4,6,-0.25,100,100,65,65,70
4,6,0,100,100,65,65,70
4,6,0.25,100,100,65,65,70
4,6,0.5,100,100,70,65,70
4,6,0.75,100,100,70,65,70
4,6,1,100,100,70,70,70
4,7,-1,100,100,65,65,70
4,7,-0.75,100,100,65,65,70
4,7,-0.5,100,100,65,65,70
4,7,-0.25,100,100,65,65,70
4,7,0,100,100,65,65,70
4,7,0.25,100,100,65,65,70
4,7,0.5,100,100,70,65,70
4,7,0.75,100,100,65,65,70
4,7,1,100,100,70,65,70
4,8,-1,100,100,65,60,70
4,8,-0.75,100,100,65,60,70
4,8,-0.5,100,100,65,65,70
4,8,-0.25,100,100,65,65,70
4,8,0,100,100,65,65,70
4,8,0.25,100,100,65,65,70
4,8,0.5,100,100,65,65,70
4,8,0.75,100,100,70,65,70
4,8,1,100,100,70,70,70
4,9,-1,100,100,65,60,65
4,9,-0.75,100,100,65,65,70
4,9,-0.5,100,100,65,65,70
4,9,-0.25,100,100,65,65,70
4,9,0,100,100,65,65,70
4,9,0.25,100,100,70,65,70
4,9,0.5,100,100,65,65,70
4,9,0.75,100,100,70,70,70
4,9,1,100,100,70,65,70
4,10,-1,100,100,65,65,70
4,10,-0.75,100,100,65,65,70
4,10,-0.5,100,100,65,60,70
4,10,-0.25,100,100,65,65,70
4,10,0,100,100,67.5,65,70
4,10,0.25,100,100,65,65,70
4,10,0.5,100,100,65,65,70
4,10,0.75,100,100,70,70,70
4,10,1,100,100,70,65,70
5,1,-1,100,100,65,65,70
5,1,-0.75,100,100,65,65,70
5,1,-0.5,100,100,70,70,75
5,1,-0.25,100,100,70,65,70
5,1,0,100,100,70,65,70
5,1,0.25,100,100,70,65,70
5,1,0.5,100,100,65,65,70
5,1,0.75,100,100,70,65,70
5,1,1,100,100,70,65,70
5,2,-1,100,100,70,65,70
5,2,-0.75,100,100,70,65,75
5,2,-0.5,100,100,67.5,65,70
5,2,-0.25,100,100,70,65,75
5,2,0,100,100,65,65,70
5,2,0.25,100,100,70,65,70
5,2,0.5,100,100,70,65,70
5,2,0.75,100,100,70,65,70
5,2,1,100,100,70,65,70
5,3,-1,100,100,65,65,70
5,3,-0.75,100,100,67.5,65,70
5,3,-0.5,100,100,70,65,70
5,3,-0.25,100,100,70,65,70
5,3,0,100,100,65,65,70
5,3,0.25,100,100,70,65,70
5,3,0.5,100,100,65,65,70
5,3,0.75,100,100,70,65,70
5,3,1,100,100,65,65,70
5,4,-1,100,100,65,65,70
5,4,-0.75,100,100,65,65,70
5,4,-0.5,100,100,65,65,70
5,4,-0.25,100,100,65,65,70
5,4,0,100,100,70,65,70
5,4,0.25,100,100,65,65,70
5,4,0.5,100,100,70,70,70
5,4,0.75,100,100,65,65,70
5,4,1,100,100,70,70,70
5,5,-1,100,100,65,65,70
5,5,-0.75,100,100,65,65,70
5,5,-0.5,100,100,65,65,70
5,5,-0.25,100,100,67.5,65,70
5,5,0,100,100,70,65,75
5,5,0.25,100,100,70,65,70
5,5,0.5,100,100,70,65,70
5,5,0.75,100,100,70,65,70
5,5,1,100,100,70,65,70
5,6,-1,100,100,70,65,70
