seed_param,seed_sim,r,mean,SD,median,Q1,Q3,IQR
2,10,0.75,67.95,8.935656640446721,70,63.75,75,11.25
2,10,1,67.6,7.960762361340613,70,63.75,71.25,7.5
3,1,-1,66.85,17.460706246491366,65,55,76.25,21.25
3,1,-0.75,66.6,15.936743644163885,65,55,75,20
3,1,-0.5,66.4,15.812665937165814,65,55,75,20
3,1,-0.25,66.05,14.827203363950991,65,55,75,20
3,1,0,66.2,13.67220878019689,65,58.75,75,16.25
3,1,0.25,66.4,12.81334531579549,65,60,75,15
3,1,0.5,66.95,11.995264217030137,65,60,75,15
3,1,0.75,68,8.73284754605428,70,60,75,15
3,1,1,68.7,7.933435191604828,70,65,75,10
3,2,-1,66.05,17.266406339443883,65,55,75,20
3,2,-0.75,66.9,15.695653390462448,65,55,75,20
3,2,-0.5,66.2,15.972198067614586,65,55,75,20
3,2,-0.25,67.5,14.779524465771672,65,55,76.25,21.25
3,2,0,68.15,13.883625265219834,67.5,60,75,15
3,2,0.25,67.45,12.091716005579851,65,60,75,15
3,2,0.5,67.25,11.814539065631521,65,60,75,15
3,2,0.75,66.7,10.055904341291843,65,60,75,15
3,2,1,69.25,7.893706737687058,70,65,75,10
3,3,-1,66.3,16.660908096075033,65,55,75,20
3,3,-0.75,67.15,16.67052985530351,65,55,75,20
3,3,-0.5,68.65,16.558055197371214,67.5,55,76.25,21.25
3,3,-0.25,66.75,14.743171677461778,65,58.75,75,16.25
3,3,0,65.85,12.533893443319393,65,55,75,20
3,3,0.25,66.95,12.245283569479708,65,60,75,15
3,3,0.5,67.6,10.359205148713453,70,60,75,15
3,3,0.75,67.65,10.061803963002808,65,60,75,15
3,3,1,67.4,7.333333333333333,70,60,70,10
3,4,-1,65.55,15.936981324497237,65,55,75,20
3,4,-0.75,66.05,14.4825739941127,65,55,75,20
3,4,-0.5,67.3,16.14986630960708,65,55,75,20
3,4,-0.25,66.85,14.593048711872058,65,55,75,20
3,4,0,66.85,14.225013536057183,65,55,75,20
3,4,0.25,66.85,13.02008937268586,65,60,75,15
3,4,0.5,67.5,11.0211000569202,65,60,75,15
3,4,0.75,68.3,9.980283593468705,65,60,75,15
3,4,1,68.65,7.940911837319491,70,65,75,10
3,5,-1,66.8,18.139749310574967,65,55,75,20
3,5,-0.75,65.55,15.190623769452342,65,55,75,20
3,5,-0.5,67.85,16.88126987898934,65,55,75,20
3,5,-0.25,66.1,13.936725699830761,65,55,75,20
3,5,0,67.7,12.976669040780049,65,60,75,15
3,5,0.25,66.9,11.971768136880714,65,60,75,15
3,5,0.5,66.65,11.215406971454648,65,60,75,15
3,5,0.75,67.8,9.829865849860955,65,63.75,75,11.25
3,5,1,68.35,8.197529807783253,70,65,75,10
3,6,-1,67.75,17.643710070461513,70,55,80,25
3,6,-0.75,67.2,16.101320605854827,65,55,75,20
3,6,-0.5,66.55,14.349444785655146,65,60,75,15
3,6,-0.25,66.25,14.290899131258255,65,55,75,20
3,6,0,68.35,14.56533521409617,70,60,80,20
3,6,0.25,67.55,11.666558441056464,67.5,60,75,15
3,6,0.5,67.3,10.669980545834413,65,60,75,15
